mesh_code,mesh_tree,tree1,tree_lbl
D000367,N05.715.350.075,N," Age, gender, racial group, geog."
D000367,N06.850.490.250,N," Age, gender, racial group, geog."
D005783,F01.393.446.250,F," Age, gender, racial group, geog."
D005783,F01.752.747.385.200,F," Age, gender, racial group, geog."
D005783,F01.752.747.722.200,F," Age, gender, racial group, geog."
D005783,F02.739.794.793.200,F," Age, gender, racial group, geog."
D009203,C14.280.647.500,C,C: Diseases
D009203,C14.907.585.500,C,C: Diseases
D009203,C23.550.513.355.750,C,C: Diseases
D009203,C23.550.717.489.750,C,C: Diseases
D001835,C23.888.144,C,C: Diseases
D001835,E01.370.600.115.100.160.120,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D001835,E05.041.124.160.750,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D001835,G07.100.100.160.120,G,Other
D001835,G07.345.249.314.120,G,Other
D008074,D10.532,D,D: Chemicals and Drugs
D008074,D12.776.521,D,D: Chemicals and Drugs
D006973,C14.907.489,C,C: Diseases
D000073865,F01.145.805.375.750,F,Other
D000073865,F01.145.958.875.750,F,Other
D003920,C18.452.394.750,C,C: Diseases
D003920,C19.246,C,C: Diseases
D008487,E01.370.510,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D000787,C14.280.647.187,C,C: Diseases
D000787,C14.907.585.187,C,C: Diseases
D000787,C23.888.592.612.233.500,C,C: Diseases
D001241,D02.455.426.559.389.657.410.595.176,D,D: Chemicals and Drugs
D000319,D000319,D,D: Chemicals and Drugs
D000319,D27.505.519.625.050.200.200,D,D: Chemicals and Drugs
D000319,D27.505.696.577.050.200.200,D,D: Chemicals and Drugs
D044469,M01.686.508,M," Age, gender, racial group, geog."
D054058,C14.280.647.124,C,C: Diseases
D054058,C14.907.585.124,C,C: Diseases
D005343,D005343,D,D: Chemicals and Drugs
D005343,D27.505.519.421.750,D,D: Chemicals and Drugs
D005343,D27.505.954.411.320,D,D: Chemicals and Drugs
D005343,D27.505.954.502.427,D,D: Chemicals and Drugs
D015607,E07.695.750,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D005842,Z01,Z," Age, gender, racial group, geog."
D015914,E02.319.452.150,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D000806,D000806,D,D: Chemicals and Drugs
D000806,D27.505.519.389.745.085,D,D: Chemicals and Drugs
D003704,C10.228.140.380,C,C: Diseases
D003704,F03.615.400,F,Other
D007328,D06.472.699.587.200.500.625,D,D: Chemicals and Drugs
D007328,D12.644.548.586.200.500.625,D,D: Chemicals and Drugs
D019851,C15.378.925,C,C: Diseases
D054556,C14.907.355.590.700,C,C: Diseases
D000925,D000925,D,D: Chemicals and Drugs
D000925,D27.505.954.502.119,D,D: Chemicals and Drugs
D006442,D09.400.430.937,D,D: Chemicals and Drugs
D006442,D12.776.124.400.405.440,D,D: Chemicals and Drugs
D006442,D12.776.395.381,D,D: Chemicals and Drugs
D006442,D12.776.422.316.762.380.440,D,D: Chemicals and Drugs
D014652,C14.907,C,C: Diseases
D006937,C18.452.584.500.500.396,C,C: Diseases
D006333,C14.280.434,C,C: Diseases
D017379,C14.280.195.400,C,C: Diseases
D017379,C23.300.775.250.400,C,C: Diseases
D009204,E04.100.376.719,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D009204,E04.928.220.520,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D003324,C14.280.647.250.260,C,C: Diseases
D003324,C14.907.137.126.339,C,C: Diseases
D003324,C14.907.585.250.260,C,C: Diseases
D000428,F01.145.317.269,F,Other
D015992,E01.370.600.115.100.125,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D015992,E05.041.124.125,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D015992,G07.100.100.125,G,Other
D015992,N06.850.505.200.100.175,N,Other
D001794,E01.370.600.875.249,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D001794,G09.330.380.076,G,Other
D015444,G11.427.410.698.277,G,Other
D015444,I03.350,I,Other
D000419,C12.050.351.968.934.734.269,C,C: Diseases
D000419,C12.200.777.934.734.269,C,C: Diseases
