nct_id,pmid
NCT00314574,23471469
NCT01867125,27616196
NCT02104674,29413502
NCT00831441,21780946
NCT00069784,30203580
NCT00398931,20200926
NCT01369329,27959607
NCT01313676,27767328
NCT01313676,28416587
NCT01696110,25775052
NCT01186146,24097439
NCT00145925,17765963
NCT00145925,18539916
NCT00259428,17804843
NCT00259376,17804843
NCT00970489,23128104
NCT01235130,25277614
NCT00129545,23325525
NCT00129545,25399274
NCT00557921,20925534
NCT00141960,18600389
NCT01009086,27098404
NCT01209702,23765873
NCT01911364,28385353
NCT02579850,29429593
NCT01009463,25490706
NCT01017952,25490706
NCT00000479,15998890
NCT00312013,21502549
NCT00000479,21673005
NCT00694382,22335737
NCT00558259,23425163
NCT00740883,26151264
NCT00977938,26586780
NCT02064439,28316279
NCT00049829,19567517
NCT00046254,24839241
NCT01343004,27612281
NCT00089791,21976367
NCT00398931,17190893
NCT00398931,9875874
NCT00049829,25111880
NCT01358175,27965257
NCT01142726,25367713
NCT01087788,29556416
NCT00111449,16399150
NCT01087762,28498975
NCT01752634,28968735
NCT00092703,17113426
NCT00092742,17113426
NCT00250445,17113426
NCT00032890,18821708
NCT00422227,24907147
NCT01451203,26139005
NCT01208181,27502582
NCT00106574,27744141
NCT01451203,28153828
NCT00565409,29338762
NCT01721044,29415145
NCT01142726,30341453
NCT01523301,27322571
NCT00542087,14687444
NCT02000336,16258899
NCT00299130,20488885
NCT01039688,27493790
NCT00077779,22704916
NCT00552058,21642014
NCT00264537,25005327
NCT00327691,22576673
NCT01869491,26228097
NCT00385736,21209123
NCT00783718,23964932
NCT00783692,30203005
NCT00094458,25728587
NCT00094458,20393175
NCT00000479,18339679
NCT01928771,27609408
NCT02149199,27912982
NCT01285323,28159511
NCT01706198,28903864
NCT01706198,30053967
NCT01475721,26949137
NCT00148408,19632710
NCT00071331,17384437
NCT00125918,19470885
NCT00325403,23307827
NCT01106014,26699168
NCT01106014,29307087
NCT00303459,26113687
NCT00660179,23984728
NCT00660179,25457902
NCT01178073,28039187
NCT01178073,26308684
NCT00526474,26826179
NCT00268216,18511702
NCT00144339,18836213
NCT00144339,19716598
NCT00563381,21428765
NCT01068600,22177371
NCT00846586,22544891
NCT01068600,23020650
NCT00794157,23040786
NCT00297102,24120253
NCT00929110,24156566
NCT00792805,24383720
NCT01604278,24596459
NCT01110200,25248764
NCT00563381,26100349
NCT01431274,26112656
NCT01437397,26233481
NCT01782326,27181606
NCT01697696,27215502
NCT01001494,27215749
NCT01964352,27316465
NCT01914757,27609406
NCT01709903,27715335
NCT01431274,27993292
NCT00336336,28263812
NCT01437397,28558833
NCT01985334,28720132
NCT01854645,28720336
NCT01715298,28848879
NCT01455129,28877027
NCT01985334,29713156
NCT01782326,29925383
NCT01914757,30139780
NCT00268216,19566934
NCT00393458,20522841
NCT01313676,28947039
NCT00652002,27039236
NCT01431274,30261995
NCT01443845,27585384
NCT01709903,26082625
NCT01908140,27492833
NCT00305162,28382371
NCT00731692,26827074
NCT00740714,24664227
NCT00099268,20582993
NCT00256204,19776408
NCT00153062,18753638
NCT01225562,27576775
NCT02465515,30291013
NCT00133692,18375982
NCT00526474,25465416
NCT00338260,15028365
NCT00153062,18753639
NCT00249873,19336502
NCT00153036,19850525
NCT00120289,22085343
NCT00526474,22443427
NCT00526474,22932716
NCT00526474,23396280
NCT01131676,26378978
NCT00129545,26627989
NCT01131676,27299675
NCT00814268,27418597
NCT01131676,28386035
NCT01252953,28847206
