id,nct_id,agency_class,lead_or_collaborator,name
2775053,NCT01776424,Industry,lead,Bayer
3079800,NCT03021187,Industry,lead,Novo Nordisk A/S
3080003,NCT02906917,Industry,lead,Novo Nordisk A/S
3080145,NCT02788474,Industry,lead,Boehringer Ingelheim
2869589,NCT00985621,Industry,lead,Pfizer
3081302,NCT01794143,Other,lead,GRADE Study Group
3081303,NCT01794143,NIH,collaborator,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)
3081304,NCT01794143,NIH,collaborator,"National Heart, Lung, and Blood Institute (NHLBI)"
3081305,NCT01794143,Industry,collaborator,"Becton, Dickinson and Company"
3081306,NCT01794143,Industry,collaborator,Bristol-Myers Squibb
3081307,NCT01794143,Industry,collaborator,Merck Sharp & Dohme Corp.
3081308,NCT01794143,Industry,collaborator,Novo Nordisk A/S
3081309,NCT01794143,Industry,collaborator,Roche Diagnostics
3081310,NCT01794143,Industry,collaborator,Sanofi
2598004,NCT03220425,Industry,lead,Novo Nordisk A/S
3083434,NCT02863328,Industry,lead,Novo Nordisk A/S
3083560,NCT02738151,Industry,lead,Sanofi
3083564,NCT02730377,Industry,lead,Novo Nordisk A/S
3083673,NCT02629159,Industry,lead,AbbVie
3083693,NCT02607865,Industry,lead,Novo Nordisk A/S
3083837,NCT02446990,Industry,lead,Servier
3083839,NCT02441218,Industry,lead,Servier
3084100,NCT02099110,Industry,lead,Merck Sharp & Dohme Corp.
3084101,NCT02099110,Industry,collaborator,Pfizer
3084149,NCT01989754,Industry,lead,"Janssen Research & Development, LLC"
3084150,NCT01989754,Other,collaborator,"The George Institute for Global Health, Australia"
3084155,NCT01986855,Industry,lead,Merck Sharp & Dohme Corp.
3084156,NCT01986855,Industry,collaborator,Pfizer
2622969,NCT03021343,Other,lead,Jordan Collaborating Cardiology Group
2623715,NCT03015220,Industry,lead,Novo Nordisk A/S
3084606,NCT01032629,Industry,lead,"Janssen Research & Development, LLC"
3084607,NCT01032629,Other,collaborator,"The George Institute for Global Health, Australia"
3084815,NCT00143507,Other,lead,Institut de Recherches Internationales Servier
2629769,NCT02967224,Industry,lead,Sanofi
2629770,NCT02967211,Industry,lead,Sanofi
2630182,NCT02963922,Industry,lead,Novo Nordisk A/S
2633344,NCT02937701,Industry,lead,Amgen
2635952,NCT02916602,Industry,lead,Hanmi Pharmaceutical Company Limited
2639143,NCT02890173,Industry,lead,"Daiichi Sankyo Co., Ltd."
2642727,NCT02860624,Industry,lead,Livzon Pharmaceutical Group Inc.
2645662,NCT02836873,Industry,lead,Theracos
2645838,NCT02835534,Industry,lead,"Guangzhou Recomgen Biotech Co., Ltd."
