nct_id,phase,number_of_arms,brief_title,official_title,enrollment,start_date,completion_date,sponsor
NCT00031837,Phase 3,1,Gemcitabine With or Without Dalteparin in Treating Patients With Unresectable or Metastatic Pancreatic Cancer,A Prospective Randomized Controlled Multicenter Study of the Effect of Dalteparin on Quality of Life in Unresectable Pancreatic Cancer,400,2002-10-01,2006-12-01,University of Rochester
NCT00045955,Phase 3,NA,Long-Term Safety Performance of Fexofenadine in Asthma,"A Multicenter, Open-Label, Randomized, Parallel Groups Study to Assess the Long-Term Safety Performance of Fexofenadine Compared to Montelukast in Subjects With Asthma",1200,2002-02-01,2003-11-01,Sanofi
NCT00048581,Phase 3,3,Phase III Study of BMS-188667 (CTLA4Ig) in Patients With Rheumatoid Arthritis Who Are Currently Failing Anti-TNF Therapy or Who Have Failed Anti-TNF Therapy in the Past.,"A Phase III, Multi-Center, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of BMS-188667 in Subjects With Active Rheumatoid Arthritis on Background Disease Modifying Anti-Rheumatic Drugs (DMARDS) Who Have Failed Anti-Tumor Necrosis Factor (TNF) Therapy",738,2002-12-01,2009-09-01,Bristol-Myers Squibb
NCT00062582,Phase 3,NA,Effect of Roflumilast on Pulmonary Function and Respiratory Symptoms in Patients With Chronic Obstructive Pulmonary Disease (COPD) (BY217/M2-110),"A 24 Week, Placebo-Controlled, Randomized, Parallel Group Study Comparing Roflumilast 500 mcg Daily vs Placebo on Pulmonary Function and Respiratory Symptoms in Patients With Chronic Obstructive Pulmonary Disease (COPD)",1000,2003-06-01,NA,AstraZeneca
NCT00071266,Phase 3,NA,The Dose Response of Niacin ER/Lovastatin on Peak Walking Time (PWT) in Patients With Intermittent Claudication - TROPIC,The Dose Response of Niacin ER/Lovastatin on Peak Walking Time (PWT) in Patients With Intermittent Claudication - a Matrix Design,870,2003-10-01,NA,Kos Pharmaceuticals
NCT00093886,Phase 3,2,Clevidipine in the Perioperative Treatment of Hypertension (ECLIPSE-NTG),Evaluation of Clevidipine in the Perioperative Treatment of Hypertension Assessing Safety Events (With Nitroglycerin as Active Comparator) (ECLIPSE-NTG),629,2004-04-01,2005-04-01,The Medicines Company
NCT00095082,Phase 3,NA,Safety and Efficacy of Insulin Detemir Plus Insulin Aspart Against Insulin Glargine Plus Insulin Aspart as Mealtime Insulin in Type 1 Diabetes,Efficacy and Safety Comparison of Insulin Detemir Plus Insulin Aspart Versus Insulin Glargine Plus Insulin Aspart in Type 1 Diabetes,447,2004-09-01,2005-12-01,Novo Nordisk A/S
NCT00096954,Phase 4,2,"A Prospective, Randomized, Double-Blind Study of the Efficacy of Omalizumab (Xolair) in Atopic Asthmatics With Good Lung Capacity Who Remain Difficult to Treat (EXACT)","A Prospective, Randomized, Double-Blind Study of the Efficacy of Omalizumab (Xolair) in Atopic Asthmatics With Good Lung Capacity Who Remain Difficult to Treat (EXACT)",333,2006-02-01,2010-09-01,"Genentech, Inc."
NCT00100620,Phase 3,NA,Efficacy and Safety of Zoledronic Acid in the Prevention and Treatment of Corticosteroid Induced Osteoporosis,Efficacy and Safety of Zoledronic Acid in the Prevention and Treatment of Corticosteroid Induced Osteoporosis,802,2004-06-01,2007-04-01,Novartis
NCT00138515,Phase 3,NA,Extension to a Study on the Efficacy and Safety of Vildagliptin in Combination With Metformin in Patients With Type 2 Diabetes,Extension to a Study on the Efficacy and Safety of Vildagliptin in Combination With Metformin in Patients With Type 2 Diabetes,418,2004-11-01,2006-05-01,Novartis
