pmid,page,tabletype,tabletype_details,tid
23471469,2,TableTidier,result_table_subgroup,273
27616196,3,TableTidier,result_table_subgroup,1383
29413502,2,TableTidier,result_table_subgroup,1801
21780946,2,TableTidier,result_table_subgroup,128
30203580,2,TableTidier,result_table_subgroup,1344
20200926,2,TableTidier,result_table_subgroup,19
27959607,2,TableTidier,result_table_subgroup,1540
27767328,4,TableTidier,result_table_subgroup,429
28416587,2,TableTidier,result_table_subgroup,509
25775052,4,TableTidier,result_table_subgroup,991
25775052,3,TableTidier,result_table_subgroup,222
25775052,5,TableTidier,result_table_subgroup,1010
24097439,2,TableTidier,result_table_subgroup,1681
17765963,2,TableTidier,result_table_subgroup,1006
18539916,2,TableTidier,result_table_subgroup,653
17804843,2,TableTidier,result_table_subgroup,517
23128104,2,TableTidier,result_table_subgroup,348
25277614,2,TableTidier,result_table_subgroup,40
23325525,1,TableTidier,result_table_subgroup,1442
25399274,2,TableTidier,result_table_subgroup,185
20925534,2,TableTidier,result_table_subgroup,1573
20925534,3,TableTidier,result_table_subgroup,110
27098404,1,TableTidier,result_table_subgroup,145
28385353,2,TableTidier,result_table_subgroup,898
28385353,3,TableTidier,result_table_subgroup,493
28385353,4,TableTidier,result_table_subgroup,1480
28385353,6,TableTidier,result_table_subgroup,685
28385353,7,TableTidier,result_table_subgroup,500
29429593,2,TableTidier,result_table_subgroup,359
25490706,2,TableTidier,result_table_subgroup,1611
15998890,2,TableTidier,result_table_subgroup,1085
21502549,2,TableTidier,result_table_subgroup,1472
21673005,2,TableTidier,result_table_subgroup,915
22335737,1,TableTidier,result_table_subgroup,317
23425163,2,TableTidier,result_table_subgroup,564
26151264,2,TableTidier,result_table_subgroup,23
26586780,2,TableTidier,result_table_subgroup,1694
28316279,2,TableTidier,result_table_subgroup,209
19567517,2,TableTidier,result_table_subgroup,220
24839241,2,TableTidier,result_table_subgroup,974
27612281,2,TableTidier,result_table_subgroup,489
27612281,3,TableTidier,result_table_subgroup,787
