nct_id,condition_preferred,mesh_broad,mesh_broad_label
NCT00031837,Thromboembolism,C14.907.355,Embolism and Thrombosis
NCT00045955,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00048581,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00062582,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00071266,Intermittent Claudication,C14.907.137.126.669,Intermittent Claudication
NCT00093886,Hypertension,C14.907.489,Hypertension
NCT00095082,"Diabetes Mellitus, Type 1",C18.452.394.750.124,"Diabetes Mellitus, Type 1"
NCT00096954,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00097357,Pulmonary Embolism,C14.907.355,Embolism and Thrombosis
NCT00097357,Venous Thrombosis,C14.907.355,Embolism and Thrombosis
NCT00100620,Osteoporosis,C05.116.198.579,Osteoporosis
NCT00138515,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00153660,Arthritis,C05.550.114,Arthritis
NCT00165737,"Dementia, Vascular",C10.228.140.380,Dementia
NCT00174785,Atrial Flutter,C14.280.067,"Arrhythmias, Cardiac"
NCT00174785,Atrial Fibrillation,C14.280.067,"Arrhythmias, Cardiac"
NCT00182143,Venous Thrombosis,C14.907.355,Embolism and Thrombosis
NCT00200434,Hypertension,C14.907.489,Hypertension
NCT00206154,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00219076,Hypertension,C14.907.489,Hypertension
NCT00224146,Urinary Incontinence,C23.888.942.343.800,Urinary Incontinence
NCT00225264,Diabetes Mellitus,C18.452.394.750,Diabetes Mellitus
NCT00236717,Seizures,C10.228.140.490,Epilepsy
NCT00251927,Gastroesophageal Reflux,C06.405.117,Esophageal Diseases
NCT00251966,Gastroesophageal Reflux,C06.405.117,Esophageal Diseases
NCT00259428,Atrial Flutter,C14.280.067,"Arrhythmias, Cardiac"
NCT00259428,Atrial Fibrillation,C14.280.067,"Arrhythmias, Cardiac"
NCT00264849,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00274053,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00279201,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00294723,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00297115,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00306644,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00311753,Embolism,C14.907.355,Embolism and Thrombosis
NCT00311818,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00324363,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00326053,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00331851,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00336336,Heart Failure,C14.280.434,Heart Failure
NCT00338260,Hypertension,C14.907.489,Hypertension
NCT00397631,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00398931,Osteoporosis,C05.116.198.579,Osteoporosis
NCT00425997,Hypertension,C14.907.489,Hypertension
NCT00434967,Hypertension,C14.907.489,Hypertension
NCT00462748,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00468546,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00488267,Osteoarthritis,C05.550.114,Arthritis
NCT00500604,Hypertension,C14.907.489,Hypertension
NCT00523991,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00542724,"Diabetes Mellitus, Type 1",C18.452.394.750.124,"Diabetes Mellitus, Type 1"
NCT00547300,Hypertension,C14.907.489,Hypertension
NCT00549757,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00550953,Hypertension,C14.907.489,Hypertension
NCT00614120,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00625547,Restless Legs Syndrome,C10.803,Restless Legs Syndrome
NCT00652106,Ocular Hypertension,C11.525,Ocular Hypertension
NCT00666718,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00694382,Venous Thromboembolism,C14.907.355,Embolism and Thrombosis
NCT00714597,Venous Thromboembolism,C14.907.355,Embolism and Thrombosis
NCT00716547,Osteoarthritis,C05.550.114,Arthritis
NCT00717236,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00771394,Prostatic Hyperplasia,C12.294.565.500,Prostatic Hyperplasia
NCT00806026,Restless Legs Syndrome,C10.803,Restless Legs Syndrome
NCT00856622,Ocular Hypertension,C11.525,Ocular Hypertension
