nct_id,phase,number_of_arms,brief_title,official_title,enrollment,a,b,comparator,combination
NCT00314574,Phase 3,2,A Study of Omalizumab (Xolair) in Subjects With Moderate to Severe Persistent Asthma (EXTRA),"A Phase IIIb Multicenter, Randomized, Double-Blind, Placebo-Controlled Study of Xolair in Subjects With Moderate to Severe Persistent Asthma Who Are Inadequately Controlled With High-Dose Inhaled Corticosteroids and Long-Acting Beta-Agonists",850,placebo,omalizumab,plac_stnd,FALSE
NCT01867125,Phase 3,3,A Study of Lebrikizumab in Participants With Uncontrolled Asthma Who Are on Inhaled Corticosteroids and a Second Controller Medication,"A Phase III, Randomized, Double-Blind, Placebo-Controlled Study to Assess the Efficacy and Safety of Lebrikizumab in Patients With Uncontrolled Asthma Who Are on Inhaled Corticosteroids and a Second Controller Medication",1081,placebo,lebrikizumab,plac_stnd,FALSE
NCT02104674,Phase 3,3,A Study Evaluating the Efficacy and Safety of Lebrikizumab in Adult Patients With Mild to Moderate Asthma,"A PHASE III, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED STUDY TO EVALUATE THE EFFICACY AND SAFETY OF LEBRIKIZUMAB IN ADULT PATIENTS WITH MILD TO MODERATE ASTHMA",313,placebo,lebrikizumab,plac_stnd,FALSE
NCT00831441,Phase 3,2,Phase III Acute Coronary Syndrome,"Apixaban for Prevention of Acute Ischemic Events - 2 A Phase 3, Randomized, Double-Blind, Evaluation of the Safety and Efficacy of Apixaban In Subjects With a Recent Acute Coronary Syndrome",7484,placebo,apixaban,plac_stnd,FALSE
NCT00069784,Phase 3,4,The ORIGIN Trial (Outcome Reduction With Initial Glargine Intervention),"A Multicenter, International Randomized, 2x2 Factorial Design Study to Evaluate the Effects of Lantus (Insulin Glargine) Versus Standard Care, and of Omega-3 Fatty Acids Versus Placebo, in Reducing Cardiovascular Morbidity and Mortality in High Risk People With Impaired Fasting Glucose (IFG), Impaired Glucose Tolerance (IGT) or Early Type 2 Diabetes Mellitus: The ORIGIN Trial (Outcome Reduction With Initial Glargine Intervention)",12537,placebo,omega-3-triglycerides incl. other esters and acids,plac_stnd,FALSE
NCT00398931,Phase 3,NA,FLEX - Long-term Extension of FIT (Fracture Intervention Trial)(0217-051),"A 5-year, Double-blind, Randomized, Placebo-controlled Extension Study to Examine the Long-term Safety and Efficacy of Oral Alendronate in Postmenopausal Women Who Previously Received Alendronate in Conjunction With the Fracture Intervention Trial",1099,alendronate|placebo|duration statement,alendronate,undefined,NA
NCT01369329,Phase 3,3,A Study to Evaluate the Safety and Efficacy of Ustekinumab in Patients With Moderately to Severely Active Crohn's Disease Who Have Failed or Are Intolerant to Tumor Necrosis Factor (TNF) Antagonist Therapy (UNITI-1),"A Phase 3, Randomized, Double-blind, Placebo-controlled, Parallel-group, Multicenter Study to Evaluate the Safety and Efficacy of Ustekinumab Induction Therapy in Subjects With Moderately to Severely Active Crohn's Disease Who Have Failed or Are Intolerant to TNF Antagonist Therapy (UNITI-1)",769,placebo,ustekinumab,plac_stnd,FALSE
NCT01313676,Phase 3,4,Study to Evaluate the Effect of Fluticasone Furoate/Vilanterol on Survival in Subjects With Chronic Obstructive Pulmonary Disease,A Clinical Outcomes Study to Compare the Effect of Fluticasone Furoate/Vilanterol Inhalation Powder 100/25mcg With Placebo on Survival in Subjects With Moderate Chronic Obstructive Pulmonary Disease (COPD) and a History of or at Increased Risk for Cardiovascular Disease,16568,NA,vilanterol,plac_stnd,FALSE
NCT01696110,Phase 4,3,BivaliRudin in Acute Myocardial Infarction vs Glycoprotein IIb/IIIa and Heparin :a Randomised Controlled Trial.,Bivalirudin in Acute Myocardial Infarction vs Glycoprotein IIb/IIIa and Heparin Undergoing Angioplasty (BRIGHT):a Randomised Controlled Trial,2194,NA,tirofiban,plac_stnd,FALSE
NCT01186146,Phase 4,2,Duration of Clopidogrel Therapy After Drug-Eluting Stent (DES-LATE),Optimal Duration of Clopidogrel Therapy After Drug-Eluting Stent Implantation to Reduce Late Coronary Arterial Thrombotic Events,5000,NA,clopidogrel,plac_stnd,FALSE
NCT00145925,Phase 3,2,Blood Pressure and Glucose Lowering for the Prevention of Vascular Disease in High Risk Patients With Type 2 Diabetes,ADVANCE - Action in Diabetes and Vascular Disease: Preterax and Diamicron - MR Controlled Evaluation,11140,perindopril,gliclazide,diff_class,FALSE
NCT00259428,Phase 3,2,EURopean Trial In Atrial Fibrillation(AF) or Flutter (AFL) Patients Receiving Dronedarone for the maIntenance of Sinus Rhythm (EURIDIS),EURopean Trial In Atrial Fibrillation or Flutter Patients Receiving Dronedarone for the maIntenance of Sinus Rhythm (EURIDIS),615,placebo,dronedarone,plac_stnd,FALSE
NCT00259376,Phase 3,2,American-Australian-African Trial With Dronedarone in Patients With Atrial Fibrillation or Atrial Flutter for the Maintenance of Sinus Rhythm,American-Australian-African Trial With Dronedarone in Atrial Fibrillation or Flutter Patients for the Maintenance of Sinus Rhythm (ADONIS),629,placebo,dronedarone,plac_stnd,FALSE
NCT00970489,Phase 3,2,Omega-3 Fatty Acids for Prevention of Post-Operative Atrial Fibrillation,(OPERA)Randomized Clinical Trial to Examine Whether Peri-operative Intake of n-3 Polyunsaturated Fatty Acids Will Reduce the Occurrence of Post-operative Atrial Fibrillation in Patients Undergoing Cardiac Surgery,1516,placebo,omega-3-triglycerides incl. other esters and acids,plac_stnd,FALSE
NCT01235130,Phase 3,2,Multi_center Study to Evaluate the Effect of N-3 Fatty Acids (OMEGA-3) on Arrhythmia Recurrence in Atrial Fibrillation,"Phase 3 A Randomized, Double-blind, Placebo-controlled, Multi-center Study to Evaluate the Effect of Long-chain N-3 Polyunsaturated Fatty Acids (OMEGA-3) on Arrhythmia Recurrence in Atrial Fibrillation",337,placebo,omega-3-triglycerides incl. other esters and acids,plac_stnd,FALSE
NCT00129545,Phase 2/Phase 3,3,WATCHMAN Left Atrial Appendage System for Embolic PROTECTion in Patients With Atrial Fibrillation,WATCHMAN Left Atrial Appendage System for Embolic PROTECTion in Patients With Atrial Fibrillation (PROTECT AF),800,not a drug,warfarin,plac_stnd,FALSE
NCT00557921,Phase 3,2,Clopidogrel and the Optimization of Gastrointestinal Events (COGENT-1),"A Randomized, Double-Blind, Double-Dummy, Parallel Group, Phase 3 Efficacy and Safety Study of CGT-2168 Compared With Clopidogrel to Reduce Upper Gastrointestinal Events Including Bleeding and Symptomatic Ulcer Disease",5000,NA,omeprazole,plac_stnd,FALSE
NCT00141960,Phase 2/Phase 3,NA,Famotidine in Subjects With Non-erosive Gastroesophageal Reflux Disease,"YM1170 Phase 2/3 Study: A Double Blind, Placebo Controlled, Group-comparison Study in Patients With Non-erosive Gastroesophageal Reflux Disease",480,NA,famotidine,poss_plac_stnd,NA
NCT01009086,Phase 3,3,A Study of the Safety and Effectiveness of Ustekinumab in Patients With Psoriatic Arthritis,"A Phase 3 Multicenter, Randomized, Double-blind, Placebo-controlled Trial of Ustekinumab, a Fully Human Aanti-IL-12/23p40 Monoclonal Antibody, Administered Subcutaneously, in Subjects With Active Psoriatic Arthritis",615,NA,ustekinumab,plac_stnd,FALSE
NCT01209702,Phase 3,5,A Study of RoActemra/Actemra (Tocilizumab) in Patients With Ankylosing Spondylitis Who Have Failed Treatment With NSAIDs,"A Ph II/III Seamless, Multi-center, Randomized, Double-blind, Placebo-controlled Study of the Reduction in Signs and Symptoms and Inhibition of Structural Damage During Treatment With Tocilizumab Versus Placebo in Patients With Ankylosing Spondylitis Who Have Failed Non-steroidal Anti-inflammatory Drugs and Are naïve to TNF Antagonist Therapy NSAIDs",306,placebo,tocilizumab,plac_stnd,FALSE
NCT01911364,Phase 3,3,Efficacy of Fixed Combination of Beclometasone + Formoterol + Glycopyrrolate in Chronic Obstructive Pulmonary Disease,A 52-wk Randomized Double Blind Parallel Trial: Combination of Beclometasone+Formoterol+Glycopyrrolate vs Tiotropium and vs Combination of Beclometasone+Formoterol and Tiotropium in Patients With Chronic Obstructive Pulmonary Disease,3686,not a drug,tiotropium,plac_stnd,FALSE
NCT02579850,Phase 3,2,2-arm Parallel Group Study of Fixed Combination of CHF 5993 vs Ultibro® in COPD Patients,"52-week, Double Blind, Randomized, 2 Active Parallel Arms Study of Fixed Combination CHF 5993 Administered vs Ultibro® in COPD Patients",1532,NA,glycopyrronium bromide,plac_stnd,TRUE
NCT01009463,Phase 3,4,A Study to Evaluate the Efficacy and Safety of Fluticasone Furoate (FF)/GW642444 Inhalation Powder in Subjects With Chronic Obstructive Pulmonary Disease (COPD),HZC102871: A 52-week Efficacy and Safety Study to Compare the Effect of Three Dosage Strengths of Fluticasone Furoate/GW642444 Inhalation Powder With GW642444 on the Annual Rate of Exacerbations in Subjects With Chronic Obstructive Pulmonary Disease (COPD),1626,NA,formoterol,plac_stnd,FALSE
NCT01017952,Phase 3,4,A Study to Evaluate Annual Rate of Exacerbations and Safety of 3 Dosage Strengths of Fluticasone Furoate (FF)/GW642444 Inhalation Powder in Subjects With Chronic Obstructive Pulmonary Disease (COPD),HZC102970: A 52-week Efficacy and Safety Study to Compare the Effect of Three Dosage Strengths of Fluticasone Furoate/GW642444 Inhalation Powder With GW642444 on the Annual Rate of Exacerbations in Subjects With Chronic Obstructive Pulmonary Disease (COPD),1635,NA,formoterol,plac_stnd,FALSE
NCT00000479,Phase 3,4,Women's Health Study (WHS): A Randomized Trial of Low-dose Aspirin and Vitamin E in the Primary Prevention of Cardiovascular Disease and Cancer,Women's Health Study of Low-dose Aspirin and Vitamin E in Apparently Healthy Women,39876,placebo,acetylsalicylic acid,plac_stnd,FALSE
