trm_lvl_id,pmid,page,original_strings_caught_from_tt,mesh_term,mesh_code,atc_code,risk_score,tid,global,global_n,global_pcdsfartl,mesh_term_f,txt_id
1,10438259,2,age,Age Factors,D000367,NA,0,746,any,2,000000000,Age Factors,NA
2,10438259,2,aspirin use,Aspirin,D001241,NA,0,746,any,2,000000000,Aspirin,NA
3,10438259,2,aspirin use;no beta-blocker use,Adrenergic beta-Antagonists,D000319,NA,0,746,any,2,000000000,Adrenergic beta-Antagonists,NA
4,10438259,2,diabetes,Diabetes Mellitus,D003920,NA,0,746,any,2,000000000,Diabetes Mellitus,NA
5,10438259,2,family history^,Medical History Taking,D008487,NA,0,746,family history,6,000010000,Medical History Taking,NA
6,10438259,2,HDL cholesterol,Lipoproteins,D008074,NA,0,746,any,2,000000000,Lipoproteins,NA
7,10438259,2,hdl cholesterol§;5151 mg/dl ldl cholesterol ||,Lipoproteins,D008074,NA,0,746,any,2,000000000,Lipoproteins,NA
8,10438259,2,hdl cholesterol§;531.5 mg/dl triglycerides^,Lipoproteins,D008074,NA,0,746,any,2,000000000,Lipoproteins,NA
9,10438259,2,Hypertension,Hypertension,D006973,NA,0,746,any,2,000000000,Hypertension,NA
10,10438259,2,prior myocardial infarction,Myocardial Infarction,D009203,NA,0,746,previous,8,100000000,Myocardial Infarction,NA
11,10438259,2,race,Racial Groups,D044469,NA,0,746,any,2,000000000,Racial Groups,NA
12,10438259,2,Smoker,Cigarette Smoking,D000073865,NA,0,746,any,2,000000000,Cigarette Smoking,NA
13,10438259,2,smoking;current,Cigarette Smoking,D000073865,NA,0,746,current,3,010000000,Cigarette Smoking,NA
14,10636365,NA,diabetes,Diabetes Mellitus,D003920,NA,0,0,any,2,000000000,Diabetes Mellitus,226
15,10789602,NA,enrollment in the first or second cohort,unclassifible,NA,NA,0,0,any,2,000000000,unclassifible,NA
16,10789602,NA,number of baseline Raynaud phenomenon attacks,unclassifible,NA,NA,0,0,any,2,000000000,unclassifible,NA
17,10789602,NA,sex,Gender Identity,D005783,NA,0,0,any,2,000000000,Gender Identity,254
18,10789602,NA,whether bio feedback control was learned to criterion,unclassifible,NA,NA,0,0,any,2,000000000,unclassifible,NA
19,10789602,NA,whether randomization was to the preferred treatment,unclassifible,NA,NA,0,0,any,2,000000000,unclassifible,NA
20,10789664,NA,Age,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,NA
21,10789664,NA,patients with vs without diabetes,Diabetes Mellitus,D003920,NA,0,0,any,2,000000000,Diabetes Mellitus,NA
22,10789664,NA,Race,Racial Groups,D044469,NA,0,0,any,2,000000000,Racial Groups,NA
23,11104295,NA,Medical History: digital blood pressure responses to cooling,Blood Pressure,D001794,NA,0,0,previous,8,100000000,Blood Pressure,NA
24,11419425,2,acute coronary syndrome,Acute Coronary Syndrome,D054058,NA,0,1830,any,2,000000000,Acute Coronary Syndrome,NA
25,11419425,2,age;<65 yr,Age Factors,D000367,NA,0,1830,any,2,000000000,Age Factors,NA
26,11419425,2,age;>=65 yr,Age Factors,D000367,NA,0,1830,any,2,000000000,Age Factors,NA
27,11419425,2,clopidogrel given before procedure,Fibrinolytic Agents,D005343,NA,0,1830,any,2,000000000,Fibrinolytic Agents,NA
28,11419425,2,clopidogrel given before procedure;no,Fibrinolytic Agents,D005343,NA,0,1830,any,2,000000000,Fibrinolytic Agents,NA
29,11419425,2,clopidogrel given before procedure;yes,Fibrinolytic Agents,D005343,NA,0,1830,any,2,000000000,Fibrinolytic Agents,NA
30,11419425,2,diabetes,Diabetes Mellitus,D003920,NA,0,1830,any,2,000000000,Diabetes Mellitus,NA
31,11419425,2,diabetes;no,Diabetes Mellitus,D003920,NA,0,1830,any,2,000000000,Diabetes Mellitus,NA
32,11419425,2,diabetes;yes,Diabetes Mellitus,D003920,NA,0,1830,any,2,000000000,Diabetes Mellitus,NA
33,11419425,2,indication for stent,Stents,D015607,NA,0,1830,any,2,000000000,Stents,NA
34,11419425,2,indication for stent;other,Stents,D015607,NA,0,1830,any,2,000000000,Stents,NA
35,11419425,2,location of treatment center,Geographic Locations,D005842,NA,0,1830,any,2,000000000,Geographic Locations,NA
36,11419425,2,location of treatment center;other,Geographic Locations,D005842,NA,0,1830,any,2,000000000,Geographic Locations,NA
37,11419425,2,location of treatment center;united states,Geographic Locations,D005842,NA,0,1830,any,2,000000000,Geographic Locations,NA
38,11419425,2,sex,Gender Identity,D005783,NA,0,1830,any,2,000000000,Gender Identity,NA
39,11419425,2,sex;female,Gender Identity,D005783,NA,0,1830,any,2,000000000,Gender Identity,NA
40,11419425,2,sex;male,Gender Identity,D005783,NA,0,1830,any,2,000000000,Gender Identity,NA
41,11419426,NA,Age,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,NA
42,11419426,NA,Cardiogenic shock,"Shock, Cardiogenic",D012770,NA,0,0,any,2,000000000,"Shock, Cardiogenic",NA
43,11419426,NA,Diabetes,Diabetes Mellitus,D003920,NA,0,0,any,2,000000000,Diabetes Mellitus,NA
44,11419426,NA,Onset of chest pain,Chest Pain,D002637,NA,0,0,any,2,000000000,Chest Pain,NA
45,11419426,NA,Sex,Gender Identity,D005783,NA,0,0,any,2,000000000,Gender Identity,NA
