txt_id,text
NA,NA
226,"table mislabelled as a baseline table. ""Table 1Prevalence of each metabolic syndrome criterion at the baseline visit and at the final visit, and changes from baseline to the final visit in metabolic syndrome parameters"""
254,"The outcome for the primary end point was not differentbetween subgroups based on (1) whether randomization was to the preferred treatment, (2) number of baseline attacks, (3) sex, (4) enrollment in the first or second cohort, and (5) whether bio feedback control was learned to criterion. All but the last of these subgroupanalyses were specified beforehand in the RTSprotocol."
274,"We analysed the primary endpoint in several  prespecified subgroups. Among patients with no history of  previous myocardial infarction, the median salvage index  was 0-64 (IQR 0-38-0-83) in the stent groups and 0-44  (0,16-0-69) in the fibrinolysis group (p=0-009); among  those presenting at hospital within 6 h of symptom onset,  it was 0-62 (0-37-0-83) in the stent group and 0-42  (0^13-0^65) in the fibrinolysis group (p=0-003); and  among those who did not undergo an unplanned  revascularisation procedure before follow-up scintigraphy  (the population after exclusion of the five patients in the  fibrinolysis group who underwent rescue stenting), the  salvage index was 0-60 (0-37-0-82) in the stent group and  0.41 (0,13-0,58) in the fibrinolysis group (p=0-0009)."
50,"A Triple-Blind, Parallel Study to Investigate the Effect of Losartan Versus Atenolol on the Reduction of Morbidity and Mortality in Hypertensive Patients With Left Ventricular Hypertrophy"
59,"Among patients with unstable angina, the incidence of primary endpoint was 3.8% in clopidogrel patients and 7.5% in ticlopidine patients (P % 0.04); among patients with stable angina, the incidence of primary endpoint was 4.9% in clopidogrel patients and 6.3% in ticlopidine patients (P % 0.32)."
262,"These results were consistent over  the study centers and, in general, across  all subgroups of patients examined."
278,Whole paper is restricted to people with isolated systeolic hypertension
237,"The Digitalis Investigation Group trial reported that treatment with digoxin did not decrease overall mortality among patients with heart failure and depressed left ventricular systolic function, although it did reduce hospitalizations slightly. Even though the epidemiologic features, causes, and prognosis of heart failure vary between men and women, sex-based dif-ferences in the effect of digoxin were not evaluated"
89,"Consistency of the treatmenteffect across subgroups (gender, age [ 65 years,  65years], race [white, non-white]), and treatment-by-factor(defining such subgroups) interactions were evaluated forthe primary variable in the intent-to-treat population usinganalysis of variance models, including factors for treatment,dose, treatment-by-dose, subgroup, and treatment-bysubgroupinteraction...        The incremental reduction of LDL-C concentrationswith coadministration of ezetimibe and simvastatin(all doses) was generally consistent across all subgroupstested, including risk-factor status, gender, age, race, orbaseline lipid profile."
250,"The incremental reduction of LDL-C concentra-tions with coadministration of ezetimibe and simvastatin (all doses) was generally consistent across all subgroups tested, including risk-factor status, gender, age, race, or baseline lipid proﬁle."
191,"Since the use of non-DHPCCBs was low (21%) relative to DHPCCB use, an evaluation between the 2 calcium channel blocker subgroups on renal outcomes was not possible."
