condition_commonest,Total subgroups,"The proportion of subgroup reporting among 2,235 trials
n/N (%)","The proportion of subgroup reporting among 1,082 trials with results reporting
n/N (%)",Five commonest subgroups in each condition
Myocardial Infarction,99,26/47 (55%),25/30 (83%),Age Factors (96.2%); Diabetes Mellitus (88.5%); Gender Identity (88.5%); Myocardial Infarction (69.2%); Hypertension (30.8%)
"Diabetes Mellitus, Type 2",89,120/460 (26%),117/235 (50%),Age Factors (49.17%); Glycated Hemoglobin A (48.33%); Gender Identity (39.17%); Body Mass Index (36.67%); Racial Groups (36.67%)
Coronary Artery Disease,77,27/80 (34%),27/46 (59%),Diabetes Mellitus (85.2%); Age Factors (74.1%); Gender Identity (74.1%); Myocardial Infarction (37.0%); Hypertension (33.3%)
Hypertension,64,44/247 (18%),44/98 (45%),Age Factors (59.1%); Gender Identity (52.3%); Diabetes Mellitus (38.6%); Racial Groups (36.4%); Blood Pressure (27.3%)
Heart Failure,51,17/40 (42%),17/27 (63%),Age Factors (70.6%); Diabetes Mellitus (64.7%); Gender Identity (64.7%); Stroke Volume (58.8%); Heart Failure (52.9%)
Hypercholesterolemia,48,28/72 (39%),28/43 (65%),Lipoproteins (71.4%); Diabetes Mellitus (67.9%); Age Factors (64.3%); Gender Identity (60.7%); Body Mass Index (53.6%)
Atrial Fibrillation,46,13/39 (33%),13/20 (65%),Age Factors (61.5%); Gender Identity (53.8%); Heart Failure (53.8%); Atrial Fibrillation (46.2%); Hypertension (38.5%)
"Pulmonary Disease, Chronic Obstructive",40,40/186 (22%),39/96 (41%),"Pulmonary Disease, Chronic Obstructive (75.0%); Age Factors (50.0%); Cigarette Smoking (45.0%); Gender Identity (42.5%); Steroids (40.0%)"
Acute Coronary Syndrome,37,9/22 (41%),9/10 (90%),Age Factors (89%); Gender Identity (78%); Diabetes Mellitus (67%); Myocardial Infarction (56%); Percutaneous Coronary Intervention (56%)
"Arthritis, Rheumatoid",35,28/106 (26%),28/65 (43%),"Arthritis, Rheumatoid (46.4%); Age Factors (25.0%); Gender Identity (21.4%); Immunosuppressive Agents (21.4%); C-Reactive Protein (17.9%)"
Stroke,35,8/20 (40%),8/13 (62%),Stroke (88%); Age Factors (62%); Gender Identity (62%); Diabetes Mellitus (38%); Hypertension (38%)
Atherosclerosis,30,2/9 (22%),2/3 (67%),Age Factors (100%); Body Mass Index (100%); Cigarette Smoking (100%); Diabetes Mellitus (100%); Gender Identity (100%)
Crohn Disease,29,11/18 (61%),11/16 (69%),Immunosuppressive Agents (63.6%); Tumor Necrosis Factor Inhibitors (63.6%); C-Reactive Protein (54.5%); Crohn Disease (45.5%); Steroids (45.5%)
Osteoporosis,29,11/44 (25%),11/23 (48%),"Age Factors (54.5%); Fractures, Bone (54.5%); Osteoporosis (45.5%); Body Mass Index (27.3%); Geographic Locations (27.3%)"
Prostatic Hyperplasia,28,9/30 (30%),9/15 (60%),Body Mass Index (44%); Age Factors (33%); Erectile Dysfunction (33%); Adrenergic alpha-Antagonists (22%); Antihypertensive Agents (22%)
