Conditions,Total subgroups,"The proportion of subgroup reporting among 2,235 trials
n/N (%)","The proportion of subgroup reporting among 1,082 trials with results reporting
n/N (%)",Five commonest subgroups in each condition
Myocardial Infarction,99,26/47 (55%),25/30 (83%),Age Factors (25); Diabetes Mellitus (23); Gender Identity (23); Myocardial Infarction (18); Hypertension (8)
"Diabetes Mellitus, Type 2",89,120/460 (26%),117/235 (50%),Age Factors (59); Glycated Hemoglobin A (58); Gender Identity (47); Body Mass Index (44); Racial Groups (44)
Coronary Artery Disease,77,27/80 (34%),27/46 (59%),Diabetes Mellitus (23); Age Factors (20); Gender Identity (20); Myocardial Infarction (10); Hypertension (9)
Hypertension,64,44/247 (18%),44/98 (45%),Age Factors (26); Gender Identity (23); Diabetes Mellitus (17); Racial Groups (16); Blood Pressure (12)
Heart Failure,51,17/40 (42%),17/27 (63%),Age Factors (12); Diabetes Mellitus (11); Gender Identity (11); Stroke Volume (10); Heart Failure (9)
Hypercholesterolemia,48,28/72 (39%),28/43 (65%),Lipoproteins (20); Diabetes Mellitus (19); Age Factors (18); Gender Identity (17); Body Mass Index (15)
Atrial Fibrillation,46,13/39 (33%),13/20 (65%),Age Factors (8); Gender Identity (7); Heart Failure (7); Atrial Fibrillation (6); Hypertension (5)
"Pulmonary Disease, Chronic Obstructive",40,40/186 (22%),39/96 (41%),"Pulmonary Disease, Chronic Obstructive (30); Age Factors (20); Cigarette Smoking (18); Gender Identity (17); Steroids (16)"
Acute Coronary Syndrome,37,9/22 (41%),9/10 (90%),Age Factors (8); Gender Identity (7); Diabetes Mellitus (6); Myocardial Infarction (5); Percutaneous Coronary Intervention (5)
"Arthritis, Rheumatoid",35,28/106 (26%),28/65 (43%),"Arthritis, Rheumatoid (13); Age Factors (7); Gender Identity (6); Immunosuppressive Agents (6); C-Reactive Protein (5)"
Stroke,35,8/20 (40%),8/13 (62%),Stroke (7); Age Factors (5); Gender Identity (5); Diabetes Mellitus (3); Hypertension (3)
Atherosclerosis,30,2/9 (22%),2/3 (67%),Age Factors (2); Body Mass Index (2); Cigarette Smoking (2); Diabetes Mellitus (2); Gender Identity (2)
Crohn Disease,29,11/18 (61%),11/16 (69%),Immunosuppressive Agents (7); Tumor Necrosis Factor Inhibitors (7); C-Reactive Protein (6); Crohn Disease (5); Steroids (5)
Osteoporosis,29,11/44 (25%),11/23 (48%),"Age Factors (6); Fractures, Bone (6); Osteoporosis (5); Body Mass Index (3); Geographic Locations (3)"
Prostatic Hyperplasia,28,9/30 (30%),9/15 (60%),Body Mass Index (4); Age Factors (3); Erectile Dysfunction (3); Adrenergic alpha-Antagonists (2); Antihypertensive Agents (2)
Peripheral Arterial Disease,24,3/8 (38%),3/4 (75%),Diabetes Mellitus (2); Age Factors (1); Ankle Brachial Index (1); Blood Pressure (1); Body Weight (1)
Venous Thromboembolism,23,7/36 (19%),7/8 (88%),Age Factors (6); Gender Identity (6); Venous Thromboembolism (4); Anticoagulants (3); Body Weight (3)
Asthma,22,19/147 (13%),19/62 (31%),Asthma (6); Eosinophilia (6); Steroids (5); Age Factors (4); Gender Identity (4)
"Colitis, Ulcerative",21,8/14 (57%),8/12 (67%),Steroids (5); Tumor Necrosis Factor Inhibitors (5); C-Reactive Protein (3); Gender Identity (3); Age Factors (2)
Psoriasis,19,13/62 (21%),13/37 (35%),Immunosuppressive Agents (5); Psoriasis (5); Tumor Necrosis Factor Inhibitors (4); Biological Therapy (2); Cyclosporins (2)
Diabetes Mellitus,16,8/36 (22%),8/15 (53%),Age Factors (6); Body Mass Index (6); Gender Identity (6); Racial Groups (5); Glycated Hemoglobin A (3)
Osteoarthritis,14,6/64 (9%),6/26 (23%),"Age Factors (3); Arthritis, Rheumatoid (3); Diabetes Mellitus (2); Gender Identity (2); Pain (2)"
Urticaria,12,2/3 (67%),2/3 (67%),Age Factors (1); Angioedema (1); Autoantibodies (1); Body Weight (1); Gender Identity (1)
"Diabetes Mellitus, Type 1",11,7/35 (20%),7/17 (41%),Glycated Hemoglobin A (4); Insulin (3); Age Factors (2); Body Mass Index (2); Glucose (2)
Hyperlipidemias,11,1/7 (14%),1/4 (25%),Age Factors (1); C-Reactive Protein (1); Diabetes Mellitus (1); Gender Identity (1); Geographic Locations (1)
Pulmonary Embolism,11,1/2 (50%),1/1 (100%),Age Factors (1); Body Mass Index (1); Fibrin Fibrinogen Degradation Products (1); Gender Identity (1); Neoplasms (1)
"Lupus Erythematosus, Systemic",10,4/8 (50%),4/5 (80%),Autoantibodies (2); Racial Groups (2); Steroids (2); Albuminuria (1); Antimalarials (1)
"Arthritis, Psoriatic",9,3/5 (60%),3/4 (75%),"Immunosuppressive Agents (2); Antirheumatic Agents (1); Arthritis, Juvenile (1); Arthritis, Psoriatic (1); Arthritis, Rheumatoid (1)"
Gastroesophageal Reflux,9,5/29 (17%),5/8 (62%),Body Mass Index (2); Age Factors (1); Gastrointestinal Diseases (1); Gender Identity (1); Heartburn (1)
Seizures,9,6/31 (19%),6/12 (50%),Anticonvulsants (5); Age Factors (3); other antiepileptics (3); Racial Groups (2); Gender Identity (1)
"Spondylitis, Ankylosing",9,3/15 (20%),3/8 (38%),C-Reactive Protein (2); Tumor Necrosis Factor Inhibitors (2); Arthritis (1); Cigarette Smoking (1); Gender Identity (1)
Angina Pectoris,8,2/4 (50%),2/4 (50%),Age Factors (2); Gender Identity (2); Body Weight (1); Diabetes Mellitus (1); Electrocardiography (1)
Gout,8,5/11 (45%),3/4 (75%),Glomerular Filtration Rate (3); Renal Insufficiency (3); Age Factors (2); Comorbidity (2); Diuretics (2)
Parkinson Disease,8,4/38 (11%),4/12 (33%),Parkinson Disease (4); Age Factors (3); Gender Identity (3); Body Weight (1); Depression (1)
Idiopathic Interstitial Pneumonias,7,3/8 (38%),3/8 (38%),Vital Capacity (2); Age Factors (1); Cigarette Smoking (1); Geographic Locations (1); Hydroxymethylglutaryl-CoA Reductase Inhibitors (1)
Thromboembolism,7,1/4 (25%),1/1 (100%),"Age Factors (1); Embolism and Thrombosis (1); Gender Identity (1); Obesity (1); Specialties, Surgical (1)"
Alzheimer Disease,6,4/31 (13%),4/16 (25%),Alzheimer Disease (2); Dementia (2); Apolipoprotein A-I (1); Gender Identity (1); Genetic Profile (1)
Multiple Sclerosis,6,2/8 (25%),2/6 (33%),Age Factors (2); Coronary Artery Disease (1); Gadolinium (1); Gender Identity (1); Multiple Sclerosis (1)
Prediabetic State,6,1/1 (100%),1/1 (100%),Body Mass Index (1); Body Weight (1); Diabetes Mellitus (1); Gender Identity (1); Racial Groups (1)
Venous Thrombosis,6,2/21 (10%),2/5 (40%),Age Factors (1); Body Weight (1); Gender Identity (1); Neoplasms (1); Renal Insufficiency (1)
"Ischemic Attack, Transient",5,1/1 (100%),1/1 (100%),Age Factors (1); Coronary Artery Disease (1); Gender Identity (1); Racial Groups (1); Stroke (1)
Lupus Nephritis,5,1/4 (25%),1/1 (100%),Cyclophosphamide (1); Gender Identity (1); Geographic Locations (1); Racial Groups (1); unclassifiable (1)
Spondylarthropathies,5,1/1 (100%),1/1 (100%),Age Factors (1); Antirheumatic Agents (1); Axial Spondyloarthritis (1); Gender Identity (1); Tumor Necrosis Factor Inhibitors (1)
Migraine Disorders,3,2/22 (9%),2/11 (18%),Adrenergic beta-Antagonists (1); Migraine Disorders (1); sumatriptan (1)
Raynaud Disease,3,1/1 (100%),1/1 (100%),Blood Pressure (1); Gender Identity (1); unclassifible (1)
Retinal Vein Occlusion,2,1/4 (25%),1/2 (50%),Macular Edema (1); unclassifiable (1)
Rhinitis,2,2/41 (5%),2/11 (18%),Geographic Locations (1); unclassifiable (1)
Esophagitis,1,1/10 (10%),1/1 (100%),unclassifiable (1)
"Urinary Bladder, Overactive",1,1/39 (3%),1/14 (7%),Urinary Bladder Diseases (1)
"Some trials might correspond to multiple index conditions, we kept the commonest condition for simplicity; the number for some subgroups is the same in the 5th place and only one was kept based on the alphabetical order; the subgroup in bold is the subgroup same as the condition term with additional information such as type, severity, duration etc.",,,,
